Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2018,Hameln-Pyrmont,Duldung,K03252,425
2018,Hildesheim,Duldung,K03254,635
2018,Holzminden,Duldung,K03255,90
2018,Nienburg (Weser),Duldung,K03256,275
2018,Schaumburg,Duldung,K03257,520
2018,Statistische Region Hannover,Duldung,K032,5335
2018,Celle,Duldung,K03351,340
2018,Cuxhaven,Duldung,K03352,360
2018,Harburg,Duldung,K03353,790
2018,Lüchow-Dannenberg,Duldung,K03354,85
2018,Lüneburg,Duldung,K03355,370
2018,Osterholz,Duldung,K03356,225
2018,Rotenburg (Wümme),Duldung,K03357,300
2018,Heidekreis,Duldung,K03358,260
2018,Stade,Duldung,K03359,550
2018,Uelzen,Duldung,K03360,140
2018,Verden,Duldung,K03361,220
2018,Statistische Region Lüneburg,Duldung,K033,3640
2018,Delmenhorst.Stadt,Duldung,K03401,135
2018,Emden Stadt,Duldung,K03402,110
2018,Oldenburg (Oldb) Stadt,Duldung,K03403,230
2018,Osnabrück Stadt,Duldung,K03404,615
2018,Wilhelmshaven Stadt,Duldung,K03405,165
2018,Ammerland,Duldung,K03451,175
2018,Aurich,Duldung,K03452,410
2018,Cloppenburg,Duldung,K03453,215
2018,Emsland,Duldung,K03454,690
2018,Friesland,Duldung,K03455,285
2018,Grafschaft Bentheim,Duldung,K03456,320
2018,Leer,Duldung,K03457,335
2018,Oldenburg,Duldung,K03458,140
2018,Osnabrück,Duldung,K03459,585
2018,Vechta,Duldung,K03460,150
2018,Wesermarsch,Duldung,K03461,265
2018,Wittmund,Duldung,K03462,100
2018,Statistische Region Weser-Ems,Duldung,K034,4925
2018,Niedersachsen,Duldung,K030,17700
2017,Braunschweig Stadt,Duldung,K03101,355
2017,Salzgitter Stadt,Duldung,K03102,205
2017,Wolfsburg Stadt,Duldung,K03103,225
2017,Gifhorn,Duldung,K03151,250
2017,Göttingen,Duldung,K03159,330
2017,Goslar,Duldung,K03153,310
2017,Helmstedt,Duldung,K03154,295
2017,Northeim,Duldung,K03155,245
2017,Peine,Duldung,K03157,305
2017,Wolfenbüttel,Duldung,K03158,950
2017,Statistische Region Braunschweig,Duldung,K031,3475
2017,Hannover Region,Duldung,K03241,2615
2017,Hannover Landeshauptstadt,Duldung,K03241001,1115
2017,Diepholz,Duldung,K03251,565
2017,Hameln-Pyrmont,Duldung,K03252,375
2017,Hildesheim,Duldung,K03254,545
2017,Holzminden,Duldung,K03255,85
2017,Nienburg (Weser),Duldung,K03256,225
2017,Schaumburg,Duldung,K03257,475
2017,Statistische Region Hannover,Duldung,K032,4885
2017,Celle,Duldung,K03351,320
2017,Cuxhaven,Duldung,K03352,360
2017,Harburg,Duldung,K03353,655
2017,Lüchow-Dannenberg,Duldung,K03354,90
2017,Lüneburg,Duldung,K03355,360
2017,Osterholz,Duldung,K03356,240
2017,Rotenburg (Wümme),Duldung,K03357,360
2017,Heidekreis,Duldung,K03358,280
2017,Stade,Duldung,K03359,620
2017,Uelzen,Duldung,K03360,150
2017,Verden,Duldung,K03361,245
2017,Statistische Region Lüneburg,Duldung,K033,3680
2017,Delmenhorst.Stadt,Duldung,K03401,130
2017,Emden Stadt,Duldung,K03402,115
2017,Oldenburg (Oldb) Stadt,Duldung,K03403,260
2017,Osnabrück Stadt,Duldung,K03404,495
2017,Wilhelmshaven Stadt,Duldung,K03405,210
2017,Ammerland,Duldung,K03451,135
2017,Aurich,Duldung,K03452,405
2017,Cloppenburg,Duldung,K03453,135
2017,Emsland,Duldung,K03454,645
2017,Friesland,Duldung,K03455,285
2017,Grafschaft Bentheim,Duldung,K03456,315
2017,Leer,Duldung,K03457,200
2017,Oldenburg,Duldung,K03458,155
2017,Osnabrück,Duldung,K03459,665
2017,Vechta,Duldung,K03460,135
2017,Wesermarsch,Duldung,K03461,220
2017,Wittmund,Duldung,K03462,115
2017,Statistische Region Weser-Ems,Duldung,K034,4625
2017,Niedersachsen,Duldung,K030,16665
2016,Braunschweig Stadt,Duldung,K03101,235
2016,Salzgitter Stadt,Duldung,K03102,195
2016,Wolfsburg Stadt,Duldung,K03103,235
2016,Gifhorn,Duldung,K03151,230
2016,Goslar,Duldung,K03153,275
2016,Helmstedt,Duldung,K03154,290
2016,Northeim,Duldung,K03155,280
2016,Peine,Duldung,K03157,260
2016,Wolfenbüttel,Duldung,K03158,910
2016,Statistische Region Braunschweig,Duldung,K031,3180
2016,Hannover Region,Duldung,K03241,2600
2016,Hannover Landeshauptstadt,Duldung,K03241001,1155
2016,Diepholz,Duldung,K03251,460
2016,Hameln-Pyrmont,Duldung,K03252,305
2016,Hildesheim,Duldung,K03254,520
2016,Holzminden,Duldung,K03255,50
2016,Nienburg (Weser),Duldung,K03256,125
2016,Schaumburg,Duldung,K03257,365
2016,Statistische Region Hannover,Duldung,K032,4425
2016,Celle,Duldung,K03351,295
2016,Cuxhaven,Duldung,K03352,335
2016,Harburg,Duldung,K03353,450
2016,Lüchow-Dannenberg,Duldung,K03354,120
2016,Lüneburg,Duldung,K03355,370
2016,Osterholz,Duldung,K03356,275
2016,Rotenburg (Wümme),Duldung,K03357,355
2016,Heidekreis,Duldung,K03358,275
2016,Stade,Duldung,K03359,680
2016,Uelzen,Duldung,K03360,165
2016,Verden,Duldung,K03361,220
2016,Statistische Region Lüneburg,Duldung,K033,3535
2016,Delmenhorst.Stadt,Duldung,K03401,140
2016,Emden Stadt,Duldung,K03402,140
2016,Oldenburg (Oldb) Stadt,Duldung,K03403,260
2016,Osnabrück Stadt,Duldung,K03404,350
2016,Wilhelmshaven Stadt,Duldung,K03405,210
2016,Ammerland,Duldung,K03451,130
2016,Aurich,Duldung,K03452,400
2016,Cloppenburg,Duldung,K03453,145
2016,Emsland,Duldung,K03454,635
2016,Friesland,Duldung,K03455,245
2016,Grafschaft Bentheim,Duldung,K03456,360
2016,Leer,Duldung,K03457,205
2016,Oldenburg,Duldung,K03458,140
2016,Osnabrück,Duldung,K03459,495
2016,Vechta,Duldung,K03460,150
2016,Wesermarsch,Duldung,K03461,200
2016,Wittmund,Duldung,K03462,130
2016,Statistische Region Weser-Ems,Duldung,K034,4330
2016,Niedersachsen,Duldung,K030,15475
2015,Braunschweig Stadt,Duldung,K03101,106
2015,Salzgitter Stadt,Duldung,K03102,197
2015,Wolfsburg Stadt,Duldung,K03103,215
2015,Gifhorn,Duldung,K03151,350
2015,Goslar,Duldung,K03153,259
2015,Helmstedt,Duldung,K03154,212
2015,Northeim,Duldung,K03155,286
2015,Peine,Duldung,K03157,307
2015,Wolfenbüttel,Duldung,K03158,233
2015,Statistische Region Braunschweig,Duldung,K031,3048
2015,Hannover Region,Duldung,K03241,2806
2015,Hannover Landeshauptstadt,Duldung,K03241001,1520
2015,Diepholz,Duldung,K03251,482
2015,Hameln-Pyrmont,Duldung,K03252,308
2015,Hildesheim,Duldung,K03254,470
2015,Holzminden,Duldung,K03255,60
2015,Nienburg (Weser),Duldung,K03256,95
2015,Schaumburg,Duldung,K03257,344
2015,Statistische Region Hannover,Duldung,K032,4565
2015,Celle,Duldung,K03351,233
2015,Cuxhaven,Duldung,K03352,391
2015,Harburg,Duldung,K03353,395
2015,Lüchow-Dannenberg,Duldung,K03354,135
2015,Lüneburg,Duldung,K03355,407
2015,Osterholz,Duldung,K03356,231
2015,Rotenburg (Wümme),Duldung,K03357,121
2015,Heidekreis,Duldung,K03358,231
2015,Stade,Duldung,K03359,569
2015,Uelzen,Duldung,K03360,185
2015,Verden,Duldung,K03361,252
2015,Statistische Region Lüneburg,Duldung,K033,3150
2015,Delmenhorst.Stadt,Duldung,K03401,145
2015,Emden Stadt,Duldung,K03402,147
2015,Oldenburg (Oldb) Stadt,Duldung,K03403,129
2015,Osnabrück Stadt,Duldung,K03404,304
2015,Wilhelmshaven Stadt,Duldung,K03405,191
2015,Ammerland,Duldung,K03451,208
2015,Aurich,Duldung,K03452,373
2015,Cloppenburg,Duldung,K03453,231
2015,Emsland,Duldung,K03454,711
2015,Friesland,Duldung,K03455,210
2015,Grafschaft Bentheim,Duldung,K03456,368
2015,Leer,Duldung,K03457,142
2015,Oldenburg,Duldung,K03458,196
2015,Osnabrück,Duldung,K03459,415
2015,Vechta,Duldung,K03460,152
2015,Wesermarsch,Duldung,K03461,164
2015,Wittmund,Duldung,K03462,118
2015,Statistische Region Weser-Ems,Duldung,K034,4204
2015,Niedersachsen,Duldung,K030,14967
