Year,Gebietseinheit,Kategorien,GeoCode,Value
2014,Celle,Fälle,K03351,286
2015,Celle,Fälle,K03351,311
2016,Celle,Fälle,K03351,314
2017,Celle,Fälle,K03351,482
2018,Celle,Fälle,K03351,419
2019,Celle,Fälle,K03351,358
1991,Cuxhaven,Fälle,K03352,551
1992,Cuxhaven,Fälle,K03352,693
1993,Cuxhaven,Fälle,K03352,952
1994,Cuxhaven,Fälle,K03352,983
1995,Cuxhaven,Fälle,K03352,847
1996,Cuxhaven,Fälle,K03352,845
1997,Cuxhaven,Fälle,K03352,895
1998,Cuxhaven,Fälle,K03352,1131
1999,Cuxhaven,Fälle,K03352,1558
2000,Cuxhaven,Fälle,K03352,921
2001,Cuxhaven,Fälle,K03352,736
2002,Cuxhaven,Fälle,K03352,580
2003,Cuxhaven,Fälle,K03352,611
2004,Cuxhaven,Fälle,K03352,584
2005,Cuxhaven,Fälle,K03352,282
2006,Cuxhaven,Fälle,K03352,438
2007,Cuxhaven,Fälle,K03352,265
2008,Cuxhaven,Fälle,K03352,292
2009,Cuxhaven,Fälle,K03352,275
2010,Cuxhaven,Fälle,K03352,267
2011,Cuxhaven,Fälle,K03352,368
2012,Cuxhaven,Fälle,K03352,394
2013,Cuxhaven,Fälle,K03352,439
2014,Cuxhaven,Fälle,K03352,384
2015,Cuxhaven,Fälle,K03352,480
2016,Cuxhaven,Fälle,K03352,468
2017,Cuxhaven,Fälle,K03352,558
2018,Cuxhaven,Fälle,K03352,568
2019,Cuxhaven,Fälle,K03352,522
1991,Harburg,Fälle,K03353,1196
1992,Harburg,Fälle,K03353,1166
1993,Harburg,Fälle,K03353,1388
1994,Harburg,Fälle,K03353,1003
1995,Harburg,Fälle,K03353,801
1996,Harburg,Fälle,K03353,965
1997,Harburg,Fälle,K03353,861
1998,Harburg,Fälle,K03353,1098
1999,Harburg,Fälle,K03353,871
2000,Harburg,Fälle,K03353,567
2001,Harburg,Fälle,K03353,546
2002,Harburg,Fälle,K03353,616
2003,Harburg,Fälle,K03353,618
2004,Harburg,Fälle,K03353,538
2005,Harburg,Fälle,K03353,724
2006,Harburg,Fälle,K03353,684
2007,Harburg,Fälle,K03353,551
2008,Harburg,Fälle,K03353,506
2009,Harburg,Fälle,K03353,460
2010,Harburg,Fälle,K03353,745
2011,Harburg,Fälle,K03353,668
2012,Harburg,Fälle,K03353,871
2013,Harburg,Fälle,K03353,590
2014,Harburg,Fälle,K03353,514
2015,Harburg,Fälle,K03353,660
2016,Harburg,Fälle,K03353,529
2017,Harburg,Fälle,K03353,533
2018,Harburg,Fälle,K03353,477
2019,Harburg,Fälle,K03353,562
1991,Lüchow-Dannenberg,Fälle,K03354,202
1992,Lüchow-Dannenberg,Fälle,K03354,221
1993,Lüchow-Dannenberg,Fälle,K03354,300
1994,Lüchow-Dannenberg,Fälle,K03354,260
1995,Lüchow-Dannenberg,Fälle,K03354,245
1996,Lüchow-Dannenberg,Fälle,K03354,215
