Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2017,Statistische Region Lüneburg,Niederlassungserlaubnis ,K033,4060
2017,Delmenhorst.Stadt,Niederlassungserlaubnis ,K03401,430
2017,Emden Stadt,Niederlassungserlaubnis ,K03402,95
2017,Oldenburg (Oldb) Stadt,Niederlassungserlaubnis ,K03403,980
2017,Osnabrück Stadt,Niederlassungserlaubnis ,K03404,835
2017,Wilhelmshaven Stadt,Niederlassungserlaubnis ,K03405,220
2017,Ammerland,Niederlassungserlaubnis ,K03451,250
2017,Aurich,Niederlassungserlaubnis ,K03452,375
2017,Cloppenburg,Niederlassungserlaubnis ,K03453,515
2017,Emsland,Niederlassungserlaubnis ,K03454,590
2017,Friesland,Niederlassungserlaubnis ,K03455,150
2017,Grafschaft Bentheim,Niederlassungserlaubnis ,K03456,115
2017,Leer,Niederlassungserlaubnis ,K03457,250
2017,Oldenburg,Niederlassungserlaubnis ,K03458,490
2017,Osnabrück,Niederlassungserlaubnis ,K03459,595
2017,Vechta,Niederlassungserlaubnis ,K03460,455
2017,Wesermarsch,Niederlassungserlaubnis ,K03461,200
2017,Wittmund,Niederlassungserlaubnis ,K03462,110
2017,Statistische Region Weser-Ems,Niederlassungserlaubnis ,K034,6650
2017,Niedersachsen,Niederlassungserlaubnis ,K030,28515
2016,Braunschweig Stadt,Niederlassungserlaubnis ,K03101,420
2016,Salzgitter Stadt,Niederlassungserlaubnis ,K03102,300
2016,Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,465
2016,Gifhorn,Niederlassungserlaubnis ,K03151,215
2016,Göttingen,Niederlassungserlaubnis ,K03159,280
2016,Goslar,Niederlassungserlaubnis ,K03153,95
2016,Helmstedt,Niederlassungserlaubnis ,K03154,460
2016,Northeim,Niederlassungserlaubnis ,K03155,395
2016,Peine,Niederlassungserlaubnis ,K03157,165
2016,Wolfenbüttel,Niederlassungserlaubnis ,K03158,900
2016,Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3695
2016,Hannover Region,Niederlassungserlaubnis ,K03241,10740
2016,Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6705
2016,Diepholz,Niederlassungserlaubnis ,K03251,530
2016,Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,805
2016,Hildesheim,Niederlassungserlaubnis ,K03254,1055
2016,Holzminden,Niederlassungserlaubnis ,K03255,110
2016,Nienburg (Weser),Niederlassungserlaubnis ,K03256,480
2016,Schaumburg,Niederlassungserlaubnis ,K03257,425
2016,Statistische Region Hannover,Niederlassungserlaubnis ,K032,14150
2016,Celle,Niederlassungserlaubnis ,K03351,735
2016,Cuxhaven,Niederlassungserlaubnis ,K03352,325
2016,Harburg,Niederlassungserlaubnis ,K03353,540
2016,Lüchow-Dannenberg,Niederlassungserlaubnis ,K03354,60
2016,Lüneburg,Niederlassungserlaubnis ,K03355,405
2016,Osterholz,Niederlassungserlaubnis ,K03356,320
2016,Rotenburg (Wümme),Niederlassungserlaubnis ,K03357,400
2016,Heidekreis,Niederlassungserlaubnis ,K03358,480
2016,Stade,Niederlassungserlaubnis ,K03359,245
2016,Uelzen,Niederlassungserlaubnis ,K03360,145
2016,Verden,Niederlassungserlaubnis ,K03361,415
2016,Statistische Region Lüneburg,Niederlassungserlaubnis ,K033,4070
2016,Delmenhorst.Stadt,Niederlassungserlaubnis ,K03401,405
2016,Emden Stadt,Niederlassungserlaubnis ,K03402,95
2016,Oldenburg (Oldb) Stadt,Niederlassungserlaubnis ,K03403,1050
2016,Osnabrück Stadt,Niederlassungserlaubnis ,K03404,830
2016,Wilhelmshaven Stadt,Niederlassungserlaubnis ,K03405,235
2016,Ammerland,Niederlassungserlaubnis ,K03451,260
2016,Aurich,Niederlassungserlaubnis ,K03452,395
2016,Cloppenburg,Niederlassungserlaubnis ,K03453,545
2016,Emsland,Niederlassungserlaubnis ,K03454,585
2016,Friesland,Niederlassungserlaubnis ,K03455,145
2016,Grafschaft Bentheim,Niederlassungserlaubnis ,K03456,110
2016,Leer,Niederlassungserlaubnis ,K03457,255
2016,Oldenburg,Niederlassungserlaubnis ,K03458,540
2016,Osnabrück,Niederlassungserlaubnis ,K03459,600
2016,Vechta,Niederlassungserlaubnis ,K03460,480
2016,Wesermarsch,Niederlassungserlaubnis ,K03461,200
2016,Wittmund,Niederlassungserlaubnis ,K03462,110
2016,Statistische Region Weser-Ems,Niederlassungserlaubnis ,K034,6845
2016,Niedersachsen,Niederlassungserlaubnis ,K030,28760
2015,Braunschweig Stadt,Niederlassungserlaubnis ,K03101,412
2015,Salzgitter Stadt,Niederlassungserlaubnis ,K03102,273
2015,Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,461
2015,Gifhorn,Niederlassungserlaubnis ,K03151,231
2015,Göttingen,Niederlassungserlaubnis ,K03159,809
2015,Goslar,Niederlassungserlaubnis ,K03153,253
2015,Helmstedt,Niederlassungserlaubnis ,K03154,87
2015,Northeim,Niederlassungserlaubnis ,K03155,444
2015,Peine,Niederlassungserlaubnis ,K03157,368
2015,Wolfenbüttel,Niederlassungserlaubnis ,K03158,165
2015,Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3559
2015,Hannover Region,Niederlassungserlaubnis ,K03241,10514
2015,Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6609
2015,Diepholz,Niederlassungserlaubnis ,K03251,500
2015,Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,796
2015,Hildesheim,Niederlassungserlaubnis ,K03254,992
2015,Holzminden,Niederlassungserlaubnis ,K03255,107
2015,Nienburg (Weser),Niederlassungserlaubnis ,K03256,463
2015,Schaumburg,Niederlassungserlaubnis ,K03257,399
2015,Statistische Region Hannover,Niederlassungserlaubnis ,K032,13771
2015,Celle,Niederlassungserlaubnis ,K03351,712
2015,Cuxhaven,Niederlassungserlaubnis ,K03352,304
2015,Harburg,Niederlassungserlaubnis ,K03353,528
2015,Lüchow-Dannenberg,Niederlassungserlaubnis ,K03354,64
2015,Lüneburg,Niederlassungserlaubnis ,K03355,396
2015,Osterholz,Niederlassungserlaubnis ,K03356,321
2015,Rotenburg (Wümme),Niederlassungserlaubnis ,K03357,405
2015,Heidekreis,Niederlassungserlaubnis ,K03358,451
2015,Stade,Niederlassungserlaubnis ,K03359,246
2015,Uelzen,Niederlassungserlaubnis ,K03360,130
2015,Verden,Niederlassungserlaubnis ,K03361,413
2015,Statistische Region Lüneburg,Niederlassungserlaubnis ,K033,3970
2015,Delmenhorst.Stadt,Niederlassungserlaubnis ,K03401,383
2015,Emden Stadt,Niederlassungserlaubnis ,K03402,93
2015,Oldenburg (Oldb) Stadt,Niederlassungserlaubnis ,K03403,1041
2015,Osnabrück Stadt,Niederlassungserlaubnis ,K03404,842
2015,Wilhelmshaven Stadt,Niederlassungserlaubnis ,K03405,241
2015,Ammerland,Niederlassungserlaubnis ,K03451,245
2015,Aurich,Niederlassungserlaubnis ,K03452,400
2015,Cloppenburg,Niederlassungserlaubnis ,K03453,549
2015,Emsland,Niederlassungserlaubnis ,K03454,579
2015,Friesland,Niederlassungserlaubnis ,K03455,146
2015,Grafschaft Bentheim,Niederlassungserlaubnis ,K03456,100
2015,Leer,Niederlassungserlaubnis ,K03457,252
2015,Oldenburg,Niederlassungserlaubnis ,K03458,553
2015,Osnabrück,Niederlassungserlaubnis ,K03459,552
2015,Vechta,Niederlassungserlaubnis ,K03460,452
2015,Wesermarsch,Niederlassungserlaubnis ,K03461,196
2015,Wittmund,Niederlassungserlaubnis ,K03462,110
2015,Statistische Region Weser-Ems,Niederlassungserlaubnis ,K034,6734
2015,Niedersachsen,Niederlassungserlaubnis ,K030,28034
